Ambito,Area,Elemento,Producto,Año,Unidad,Valor
Totales de las emisiones,Angola,Emisiones (CO2),Transformación de alimentos,2020,mil toneladas,554.5229
Totales de las emisiones,Angola,Emisiones (CH4),Energía,2020,mil toneladas,1270.0
Totales de las emisiones,Angola,Emisiones (N2O),Energía,2020,mil toneladas,1.2
Totales de las emisiones,Angola,Emisiones (CO2),Energía,2020,mil toneladas,25700.0
Totales de las emisiones,Angola,Emisiones (N2O),IPPU,2020,mil toneladas,0.648
Totales de las emisiones,Angola,Emisiones (CO2),IPPU,2020,mil toneladas,1190.0
Totales de las emisiones,Angola,Emisiones (CH4),Desechos,2020,mil toneladas,181.0
Totales de las emisiones,Angola,Emisiones (N2O),Desechos,2020,mil toneladas,1.18
Totales de las emisiones,Angola,Emisiones (N2O),Otro,2020,mil toneladas,1.58
Totales de las emisiones,Anguila,Emisiones (CO2),Suelos orgánicos drenados (CO2),2020,mil toneladas,0.0
Totales de las emisiones,Anguila,Emisiones (N2O),Suelos orgánicos drenados (N2O),2020,mil toneladas,0.0
Totales de las emisiones,Anguila,Emisiones (CH4),On-farm energy use,2020,mil toneladas,0.0019
Totales de las emisiones,Anguila,Emisiones (N2O),On-farm energy use,2020,mil toneladas,0.0009
Totales de las emisiones,Anguila,Emisiones (CO2),On-farm energy use,2020,mil toneladas,5.7457
Totales de las emisiones,Anguila,Emisiones (CH4),Incendios de sabana,2020,mil toneladas,0.0
Totales de las emisiones,Anguila,Emisiones (N2O),Incendios de sabana,2020,mil toneladas,0.0
Totales de las emisiones,Anguila,Emisiones (CH4),Incendios en suelos de turba,2020,mil toneladas,0.0
Totales de las emisiones,Anguila,Emisiones (CO2),Incendios en suelos de turba,2020,mil toneladas,0.0
Totales de las emisiones,Anguila,Emisiones (CH4),Incendios forestales,2020,mil toneladas,0.0
Totales de las emisiones,Anguila,Emisiones (N2O),Incendios forestales,2020,mil toneladas,0.0
Totales de las emisiones,Anguila,Emisiones (CH4),Incendios en los bosques tropicales húmedos,2020,mil toneladas,0.0
Totales de las emisiones,Anguila,Emisiones (N2O),Incendios en los bosques tropicales húmedos,2020,mil toneladas,0.0
Totales de las emisiones,Anguila,Emisiones (CH4),Uso de electricidad en agrícola,2020,mil toneladas,0.0001
Totales de las emisiones,Anguila,Emisiones (N2O),Uso de electricidad en agrícola,2020,mil toneladas,0.0
Totales de las emisiones,Anguila,Emisiones (CO2),Uso de electricidad en agrícola,2020,mil toneladas,1.5773
Totales de las emisiones,Anguila,Emisiones (CH4),Venta de alimentos,2020,mil toneladas,0.0002
Totales de las emisiones,Anguila,Emisiones (N2O),Venta de alimentos,2020,mil toneladas,0.0001
Totales de las emisiones,Anguila,Emisiones (CO2),Venta de alimentos,2020,mil toneladas,6.782
Totales de las emisiones,Anguila,Emisiones (CH4),Consumo de alimentos en los hogares,2020,mil toneladas,0.0011
Totales de las emisiones,Anguila,Emisiones (N2O),Consumo de alimentos en los hogares,2020,mil toneladas,0.0
Totales de las emisiones,Anguila,Emisiones (CO2),Consumo de alimentos en los hogares,2020,mil toneladas,15.4697
Totales de las emisiones,Anguila,Emisiones (CH4),Transformación de alimentos,2020,mil toneladas,0.001
Totales de las emisiones,Anguila,Emisiones (N2O),Transformación de alimentos,2020,mil toneladas,0.0004
Totales de las emisiones,Anguila,Emisiones (CO2),Transformación de alimentos,2020,mil toneladas,4.0373
Totales de las emisiones,Anguila,Emisiones (CH4),Energía,2020,mil toneladas,0.0035
Totales de las emisiones,Anguila,Emisiones (N2O),Energía,2020,mil toneladas,0.0012
